# TITLE  Co16 Fe16 Co8 Fe8 O32 [Cubic, Centric (-1 at origin)]
#        a         b         c       alpha     beta      gamma
# CELL    8.39400   8.39400   8.39400  90.00000  90.00000  90.00000
# SPCGRP  F d -3 m [Number  227]
#                    X         Y         Z         B         Occ       Spin      Charge
# Atom  Co1                    0.00000   0.00000   0.00000   0.00000   0.03000   0.00000   0.00000
# Atom  Fe1                    0.00000   0.00000   0.00000   0.00000   0.05333   0.00000   0.00000
# Atom  Co2                    0.62500   0.62500   0.62500   0.00000   0.01333   0.00000   0.00000
# Atom  Fe2                    0.62500   0.62500   0.62500   0.00000   0.02833   0.00000   0.00000
# Atom  O1                     0.37600   0.37600   0.37600   0.00000   0.16667   0.00000   0.00000
# COMMAND cif2hkl CoFe2O4_109044.cif --output CoFe2O4_109044.txt
# CIF2HKL (c) ILL 2012 E. Farhi <farhi@ill.eu> based on CrysFML
# DATE    12/06/2019 at 13:30:47
#
# Physical parameters:
# sigma_coh       423.44348 coherent   scattering cross section in [barn]
# sigma_inc       125.55785 incoherent scattering cross section in [barn]
# sigma_abs       953.76611 absorption scattering cross section in [barn]
# density           5.52328 in [g/cm^3]
# weight         3266.65747 in [g/mol]
# Vc              591.43481 volume of unit cell in [A^3]
# lattice_a         8.39400 lattice parameter a in [Angs]
# lattice_b         8.39400 lattice parameter b in [Angs]
# lattice_c         8.39400 lattice parameter c in [Angs]
# lattice_aa       90.00000 lattice angle alpha in [deg]
# lattice_bb       90.00000 lattice angle beta in [deg]
# lattice_cc       90.00000 lattice angle gamma in [deg]
# STRUCTURE FACTORS(NEUTRONS)
#
# Format parameters: Crystallographica format
# column_h  1
# column_k  2
# column_l  3
# column_j  4   multiplicity 'j'
# column_d  5   d-spacing 'd' in [Angs]
# column_F2 6   norm of scattering factor |F|^2 in [barn]
#
# List   992 reflections for lambda >     0.5000 [Angs], decreasing d-spacing.
# H   K   L     Mult    dspc                   |Fc|^2
  20   20    4    24       0.29385     167.42584
  27    9    3    48       0.29331     131.14539
  23   17    1    48       0.29331     131.06932
  23   13   11    48       0.29331     131.34418
  19   17   13    48       0.29331     130.79152
  25   13    5    48       0.29331     131.21703
  24   12   10    48       0.29313       0.00017
  26   12    2    48       0.29242     578.26300
  28    6    2    48       0.29242     578.24658
  22   18    4    48       0.29242     578.27887
  20   18   10    48       0.29242     578.28632
  22   14   12    48       0.29242     578.28406
  23   17    3    48       0.29189     509.07175
  25   11    9    48       0.29189     508.53482
  27    7    7    24       0.29189     508.69379
  21   19    5    48       0.29189     508.61188
  24   16    0    24       0.29101    1235.90503
  23   15    9    48       0.29049     131.23631
  21   15   13    48       0.29049     130.70482
  27    9    5    48       0.29049     130.90805
  18   16   16    24       0.29031       0.00045
  24   16    2    48       0.29031       0.00001
  24   14    8    48       0.29031       0.00015
  26   12    4    48       0.29031       0.00003
  28    6    4    48       0.29031       0.00001
  20   20    6    24       0.29031       0.00012
  22   16   10    48       0.28962     578.00482
  26   10    8    48       0.28962     577.98651
  25   13    7    48       0.28910     508.37930
  29    1    1    24       0.28910     508.69370
  19   19   11    24       0.28910     508.14346
  23   17    5    48       0.28910     508.43097
  18   18   14    24       0.28893     122.99451
  22   18    6    48       0.28893     123.69642
  24   16    4    48       0.28825     167.12277
  28    8    0    24       0.28825     167.10881
  29    3    1    48       0.28774     130.89148
  21   17   11    48       0.28774     130.62325
  21   19    7    48       0.28774     131.12068
  27   11    1    48       0.28774     130.92647
  25   15    1    48       0.28774     130.88062
  20   16   14    48       0.28757       0.00042
  28    8    2    48       0.28757       0.00000
  28    6    6    24       0.28690     577.69147
  26   12    6    48       0.28690     577.70862
  29    3    3    24       0.28640     508.54401
  25   15    3    48       0.28640     508.69086
  27   11    3    48       0.28640     508.38840
  27    9    7    48       0.28640     508.76666
  20   20    8    24       0.28557    1235.10693
  24   12   12    24       0.28557    1235.09839
  28    8    4    48       0.28557    1235.05627
  25   11   11    24       0.28508     131.04080
  29    5    1    48       0.28508     130.81551
  23   17    7    48       0.28508     131.02119
  17   17   17     8       0.28508     131.18687
  23   13   13    24       0.28508     130.53154
  20   18   12    48       0.28491       0.00039
  24   16    6    48       0.28491       0.00011
  26   14    0    24       0.28426     577.42902
  22   18    8    48       0.28426     577.44641
  24   14   10    48       0.28426     577.44250
  23   15   11    48       0.28377     507.79562
  19   17   15    48       0.28377     509.06366
  25   13    9    48       0.28377     508.77124
  25   15    5    48       0.28377     508.06952
  29    5    3    48       0.28377     508.25836
  27   11    5    48       0.28377     508.55228
  26   14    2    48       0.28361     123.38118
  26   10   10    24       0.28361     123.71935
  22   14   14    24       0.28361     123.01645
  21   21    1    24       0.28248     130.75624
  21   19    9    48       0.28248     130.46051
  22   16   12    48       0.28232       0.00038
  26   12    8    48       0.28232       0.00013
  28    8    6    48       0.28232       0.00004
  22   20    2    48       0.28168     577.16357
  28   10    2    48       0.28168     577.13666
  26   14    4    48       0.28168     577.15222
  23   19    1    48       0.28121     508.22473
  29    7    1    48       0.28121     508.10806
  19   19   13    24       0.28121     508.85641
  21   21    3    24       0.28121     507.96893
  29    5    5    24       0.28121     508.24402
  27    9    9    24       0.28121     507.83102
  21   15   15    24       0.28121     508.85953
  24   16    8    48       0.28042    1234.28369
  27   13    1    48       0.27996     130.59845
  25   15    7    48       0.27996     130.82336
  21   17   13    48       0.27996     130.97775
  27   11    7    48       0.27996     130.47078
  23   19    3    48       0.27996     130.53316
  23   17    9    48       0.27996     130.37114
  29    7    3    48       0.27996     130.66344
  22   20    4    48       0.27980       0.00006
  20   20   10    24       0.27980       0.00034
  28   10    4    48       0.27980       0.00003
  18   18   16    24       0.27918     576.90106
  24   18    2    48       0.27918     576.88208
  30    2    0    24       0.27918     576.83893
  27   13    3    48       0.27872     508.12027
  21   21    5    24       0.27872     508.30170
  22   18   10    48       0.27856     123.05216
  26   14    6    48       0.27856     123.67686
  30    2    2    24       0.27856     123.44286
  20   16   16    24       0.27795     166.53328
  28    8    8    24       0.27795     166.51311
  25   13   11    48       0.27750     130.27161
  29    7    5    48       0.27750     130.45038
  25   17    1    48       0.27750     130.56573
  23   19    5    48       0.27750     130.69887
  24   18    4    48       0.27735       0.00006
  24   14   12    48       0.27735       0.00034
  30    4    2    48       0.27674     576.56219
  26   12   10    48       0.27674     576.59949
  20   18   14    48       0.27674     576.62054
  22   20    6    48       0.27674     576.60992
  28   10    6    48       0.27674     576.58307
  25   17    3    48       0.27629     507.60342
  23   15   13    48       0.27629     508.45276
  27   13    5    48       0.27629     507.52658
  29    9    1    48       0.27629     507.80807
  21   19   11    48       0.27629     508.44037
  28   12    0    24       0.27555    1233.43445
  29    9    3    48       0.27510     130.37421
  21   21    7    24       0.27510     130.21661
  27   11    9    48       0.27510     130.63638
  25   15    9    48       0.27510     130.19283
  24   16   10    48       0.27495       0.00031
  28   12    2    48       0.27495       0.00001
  30    4    4    24       0.27495       0.00000
  24   18    6    48       0.27437     576.32880
  26   16    2    48       0.27437     576.31927
  30    6    0    24       0.27437     576.28534
  26   14    8    48       0.27437     576.32178
  22   16   14    48       0.27437     576.33972
  23   19    7    48       0.27393     507.16296
  29    7    7    24       0.27393     507.79425
  25   17    5    48       0.27393     507.91595
  19   17   17    24       0.27393     506.81854
  23   17   11    48       0.27393     508.24081
  30    6    2    48       0.27378     123.49226
  28   12    4    48       0.27320     166.21513
  20   20   12    24       0.27320     166.23312
  19   19   15    24       0.27277     129.95497
  29    9    5    48       0.27277     130.43631
  27   13    7    48       0.27277     130.52721
  28   10    8    48       0.27262       0.00011
  22   20    8    48       0.27262       0.00026
  26   16    4    48       0.27262       0.00006
  30    6    4    48       0.27205     576.00897
  22   18   12    48       0.27205     576.06110
  21   17   15    48       0.27162     506.65262
  27   15    1    48       0.27162     507.47263
  29   11    1    48       0.27049     130.22261
  25   13   13    24       0.27049     130.56873
  21   21    9    24       0.27049     130.55214
  31    1    1    24       0.27049     130.23563
  25   17    7    48       0.27049     130.03557
  27   15    3    48       0.27049     130.16180
  24   18    8    48       0.27035       0.00025
  26   12   12    24       0.27035       0.00030
  28   12    6    48       0.27035       0.00008
  26   16    6    48       0.26979     575.76654
  22   22    0    12       0.26979     575.77271
  24   14   14    24       0.26979     575.77948
  30    8    2    48       0.26979     575.73254
  29    9    7    48       0.26938     506.95389
  29   11    3    48       0.26938     507.36005
  23   19    9    48       0.26938     507.81641
  27   11   11    24       0.26938     506.75558
  23   21    1    48       0.26938     507.16830
  31    3    1    48       0.26938     507.21829
  21   19   13    48       0.26938     506.49329
  25   15   11    48       0.26938     507.84186
  18   18   18     8       0.26924     124.04909
  26   14   10    48       0.26924     123.08530
  30    6    6    24       0.26924     123.34570
  22   22    2    24       0.26924     123.55289
  24   20    0    24       0.26869     165.92760
  24   16   12    48       0.26869     165.93222
  23   21    3    48       0.26827     130.26976
  31    3    3    24       0.26827     130.12482
  27   13    9    48       0.26827     129.92575
  23   15   15    24       0.26827     129.78438
  27   15    5    48       0.26827     130.30838
  30    8    4    48       0.26814       0.00002
  24   20    2    48       0.26814       0.00002
  20   18   16    48       0.26814       0.00070
  28   14    2    48       0.26759     575.47485
  28   10   10    24       0.26759     575.47736
  22   22    4    24       0.26759     575.49640
  22   20   10    48       0.26759     575.50323
  29   11    5    48       0.26718     506.80453
  23   17   13    48       0.26718     506.32211
  31    5    1    48       0.26718     506.99838
  25   19    1    48       0.26718     506.98309
  24   20    4    48       0.26651    1231.84277
  28   12    8    48       0.26651    1231.81763
  25   17    9    48       0.26611     130.35213
  23   21    5    48       0.26611     129.89125
  25   19    3    48       0.26611     130.17349
  31    5    3    48       0.26611     130.08669
  20   20   14    24       0.26597       0.00066
  28   14    4    48       0.26597       0.00005
  22   16   16    24       0.26597       0.00066
  26   16    8    48       0.26597       0.00023
  26   18    0    24       0.26544     575.21014
  30   10    0    24       0.26544     575.18005
  24   18   10    48       0.26544     575.22388
  30    8    6    48       0.26544     575.18079
  21   21   11    24       0.26504     506.17242
  27   15    7    48       0.26504     506.45053
  29    9    9    24       0.26504     507.19595
  22   18   14    48       0.26491     124.02009
  26   18    2    48       0.26491     123.55005
  22   22    6    24       0.26491     123.15969
  30   10    2    48       0.26491     123.39438
  31    7    1    48       0.26399     129.97574
  29   13    1    48       0.26399     129.99565
  23   19   11    48       0.26399     129.62463
  29   11    7    48       0.26399     130.13293
  31    5    5    24       0.26399     129.90268
  25   19    5    48       0.26399     129.79988
  19   19   17    24       0.26399     130.43558
  24   20    6    48       0.26386       0.00017
  26   18    4    48       0.26334     574.93427
  26   14   12    48       0.26334     574.93915
  30   10    4    48       0.26334     574.90448
  28   14    6    48       0.26334     574.92322
  21   17   17    24       0.26296     507.58160
  23   21    7    48       0.26296     507.18204
  25   15   13    48       0.26296     505.98087
  31    7    3    48       0.26296     506.56006
  27   17    1    48       0.26296     506.61209
  29   13    3    48       0.26296     506.50555
  27   13   11    48       0.26296     507.24457
  32    0    0     6       0.26231    1230.94214
  21   19   15    48       0.26193     130.33005
  27   17    3    48       0.26193     129.98102
  24   16   14    48       0.26180       0.00061
  28   12   10    48       0.26180       0.00024
  22   20   12    48       0.26180       0.00058
  30    8    8    24       0.26180       0.00008
  26   16   10    48       0.26129     574.66229
  32    2    2    24       0.26129     574.60291
  22   22    8    24       0.26129     574.66876
  29   13    5    48       0.26091     506.76193
  31    7    5    48       0.26091     506.63098
  25   19    7    48       0.26091     506.98703
  25   17   11    48       0.26091     505.82593
  27   15    9    48       0.26091     507.02878
  26   18    6    48       0.26079     123.16936
  30   10    6    48       0.26079     123.63813
  32    4    0    24       0.26029     165.30153
  28   16    0    24       0.26029     165.32399
  24   20    8    48       0.26029     165.33533
  31    9    1    48       0.25991     129.75372
  29   11    9    48       0.25991     129.57048
  27   17    5    48       0.25991     129.61710
  23   17   15    48       0.25991     130.22685
  28   16    2    48       0.25979       0.00002
  32    4    2    48       0.25979       0.00000
  28   14    8    48       0.25979       0.00021
  24   18   12    48       0.25979       0.00056
  20   18   18    24       0.25929     574.40570
  30   12    2    48       0.25929     574.35229
  21   21   13    24       0.25892     507.16263
  23   21    9    48       0.25892     505.69089
  31    9    3    48       0.25892     506.41171
  20   20   16    24       0.25831    1230.24634
  28   16    4    48       0.25831    1230.19763
  32    4    4    24       0.25831    1230.13611
  31    7    7    24       0.25794     129.57002
  29   13    7    48       0.25794     129.49481
  23   19   13    48       0.25794     130.11972
  23   23    1    24       0.25794     129.73613
  30   12    4    48       0.25782       0.00004
  22   18   16    48       0.25733     574.12592
  26   18    8    48       0.25733     574.10815
  30   10    8    48       0.25733     574.07782
  32    6    2    48       0.25733     574.05176
  24   22    2    48       0.25733     574.10736
  23   23    3    24       0.25697     505.90262
  31    9    5    48       0.25697     505.90329
  29   15    1    48       0.25697     506.05640
  27   17    7    48       0.25697     506.59793
  25   21    1    48       0.25697     506.21008
  25   19    9    48       0.25697     505.51520
  27   13   13    24       0.25697     505.46951
  26   14   14    24       0.25685     123.97451
  22   22   10    24       0.25685     123.94773
  28   12   12    24       0.25637     165.02983
  25   21    3    48       0.25601     129.48665
  29   15    3    48       0.25601     129.69250
  25   15   15    24       0.25601     130.02081
  27   15   11    48       0.25601     129.27477
  24   20   10    48       0.25590       0.00048
  26   16   12    48       0.25590       0.00052
  32    6    4    48       0.25590       0.00001
  24   22    4    48       0.25590       0.00009
  28   16    6    48       0.25590       0.00015
  26   20    2    48       0.25542     573.82642
  22   20   14    48       0.25542     573.84735
  28   14   10    48       0.25542     573.82019
  30   12    6    48       0.25542     573.80164
  31   11    1    48       0.25507     505.97375
  19   19   19     8       0.25507     504.96747
  23   23    5    24       0.25507     506.33633
  29   11   11    24       0.25507     506.44931
  25   17   13    48       0.25507     506.76031
  32    8    0    24       0.25448    1229.32971
  24   16   16    24       0.25448    1229.42834
  25   21    5    48       0.25413     129.70328
  27   19    1    48       0.25413     129.54576
  21   19   17    48       0.25413     129.01859
  29   15    5    48       0.25413     129.34326
  31   11    3    48       0.25413     129.42174
  31    9    7    48       0.25413     129.64085
  33    1    1    24       0.25413     129.48900
  29   13    9    48       0.25413     129.75401
  23   21   11    48       0.25413     129.90524
  26   20    4    48       0.25401       0.00009
  32    8    2    48       0.25401       0.00001
  24   22    6    48       0.25355     573.55707
  24   18   14    48       0.25355     573.56830
  30   14    0    24       0.25355     573.52515
  32    6    6    24       0.25355     573.50177
  27   17    9    48       0.25320     505.16507
  33    3    1    48       0.25320     505.70633
  27   19    3    48       0.25320     505.53726
  26   18   10    48       0.25309     123.93140
  30   10   10    24       0.25309     123.15070
  30   14    2    48       0.25309     123.54078
  28   16    8    48       0.25263     164.73347
  32    8    4    48       0.25263     164.71111
  21   21   15    24       0.25229     128.93739
  31   11    5    48       0.25229     129.52992
  23   17   17    24       0.25229     128.93494
  23   23    7    24       0.25229     129.14653
  33    3    3    24       0.25229     129.41684
  25   19   11    48       0.25229     129.80466
  30   12    8    48       0.25217       0.00017
  30   14    4    48       0.25172     573.25000
  28   18    2    48       0.25172     573.26483
  26   20    6    48       0.25172     573.27643
  22   22   12    24       0.25172     573.29175
  29   15    7    48       0.25138     506.01425
  25   21    7    48       0.25138     505.05038
  23   19   15    48       0.25138     504.64203
  33    5    1    48       0.25138     505.56375
  27   19    5    48       0.25138     505.95154
  24   20   12    48       0.25082    1228.61658
  27   15   13    48       0.25048     129.71198
  31    9    9    24       0.25048     129.12767
  33    5    3    48       0.25048     129.26616
  28   18    4    48       0.25037       0.00009
  20   20   18    24       0.25037       0.00108
  32    8    6    48       0.25037       0.00005
  24   22    8    48       0.25037       0.00037
  28   14   12    48       0.25037       0.00046
